,Allegany,AnneArundel,Baltimore,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,PGCounty,QueenAnne,St.Mary,Somerset,Talbot,Washington,Wicomico,Worcester,BalCity
Less than 9th Grade,1454,8852,18308,1065,1291,2440,2170,2319,993,4507,806,4013,4262,672,35413,44633,744,2192,944,1057,3239,2440,1122,21605
High School no Diploma,4089,22100,33161,3001,2389,6631,6050,4984,2465,7670,1632,8377,5419,1099,26792,40181,2132,5145,2591,1992,10383,4817,2881,48234
High School Diploma,21302,93862,154724,18704,9207,35112,26015,32896,8907,41251,9007,47611,29129,4582,98816,154686,10168,21929,7075,7378,39363,21263,12471,124847
Some College no degree,9999,78474,111102,15532,4171,23194,14423,25597,4576,32627,3971,38363,30387,2511,97786,135389,6222,15739,3233,5786,22152,13381,8085,82268
Associates degree,4825,28736,40101,4570,1608,8690,5070,8080,1372,12514,1745,13782,11572,810,36121,34936,2895,5821,746,1842,7741,4181,2497,19644
Bachelors degree,4733,88157,121891,10038,2112,24569,9415,16756,2928,38413,2205,35441,62207,2299,186973,107860,7229,12584,1356,5392,12720,9966,7325,66163
Graduate or Professional,4391,62476,89801,7717,1259,14098,6176,11074,1872,26581,1884,23541,64359,1955,222076,80200,4690,9097,1014,4691,8126,7406,4235,59260
